Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|Field=Value~String~Value~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~3796.PrjPCB|ReportField=ProjectFullPath~E:\laserTrackerDesign\$16LDPower\PCB\redLDPwrV3.2\3796.PrjPCB|ReportField=Title~Bill of Materials For Project [3796.PrjPCB] (No PCB Document Selected)|ReportField=TotalQuantity~99|ReportField=ReportTime~9:55:59|ReportField=ReportDate~2015-8-11|ReportField=ReportDateTime~2015-8-11 9:55:59|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2015-8-11|ReportField=CurrentTime~9:55:47|ReportField=Date~|ReportField=DocumentFullPathAndName~E:\laserTrackerDesign\$16LDPower\PCB\redLDPwrV3.2\3796.SchDoc|ReportField=DocumentName~3796.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2015-7-20|ReportField=Organization~|ReportField=ProjectName~3796.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~3796.PrjPCB|ReportField=DataSourceFullPath~E:\laserTrackerDesign\$16LDPower\PCB\redLDPwrV3.2\3796.PrjPCB
NoPop|Polarized Capacitor (Radial)|C1, C20|SMC_Altium Capacity 8*10|Cap Pol1|2|100uF/50V
47uF/50V|Capacitor|C2, C15|1206[3216] - NP|Cap|2|47uF/50V
22uF/50V|Capacitor|C3, C16, C17|1206[3216] - NP|Cap|3|22uF/50V
100nF|Capacitor|C4, C5, C8, C12, C21, C22, C25, C26, C27, C28, C29, C33|1608[0603]|Cap|12|100nF
10nF|Capacitor|C7, C11|1608[0603]|Cap|2|10nF
4.7uF/50V|Capacitor|C9|1206[3216] - NP|Cap|1|4.7uF/50V
1uF|Capacitor|C10|1608[0603]|Cap|1|1uF
2.2uF/50V|Capacitor|C13|2012[0805]|Cap|1|2.2uF/50V
NoPop|Capacitor|C14|1206[3216] - NP|Cap|1|100pF/50V
100uF/50V|Capacitor|C18, C19, C36|1206[3216] - NP|Cap|3|100uF/50V
20pF|Capacitor|C23, C24|1608[0603]|Cap|2|20pF
22uF|Capacitor|C30, C31, C34|1608[0603]|Cap|3|22uF
10uF|Capacitor|C32, C35|1608[0603]|Cap|2|10uF
LED|Typical INFRARED GaAs LED|D1, D2, D6|2012[0805] - LED|LED0|3|
SMAJ36CA|Schottky Diode|D3|SMA_DIOM5226X26N|D Schottky|1|
PDS5100|Schottky Diode|D4|PowerDI5|D Schottky|1|
SMAJ26CA|Schottky Diode|D5|SMA_DIOM5226X26N|D Schottky|1|
IHLP-4040DZ-11|Inductor|L1|IHLP4040|Inductor|1|47uH
VH Connector, B2P-VH|Header, 2-Pin|P1|2PIN-B2P_VH|Header 2|1|
HY-8AD|Header, 8-Pin|P2|8P -HY-8AD|Header 8|1|
TJC3B-8AD|Header, 8-Pin|P3|8P-TJC3B8AD|Header 8|1|
Header 4|Header, 4-Pin|P4|HDR1X4|Header 4|1|
2N2907|PNP General Purpose Amplifier|Q1|SOT95P280X115-3N|2N3906|1|
BSC160N10NS3 G|N-Channel OptiMOS 3 Power-Transistor, 100 V VDS, 42 A ID, -55 to 150 degC, PG-TDSON-8-1, Reel, Green|Q2|INF-PG-TDSON-8-1_V|BSC160N10NS3 G|1|
Si7113dn|PMOS, Si7113dn|Q3|1212-8 Single|PWR_ Si7113dn|1|
10K|Resistor|R1, R2, R15, R23|1608[0603]|Res1|4|10K
50|Resistor|R3, R34|1608[0603]|Res1|2|
20K|Variable Resistor|R4|RES-adj|Res Adj1|1|20K
NoPop|Resistor|R5, R9|1608[0603]|Res1|2|6K, 20K
2M|Resistor|R6, R7, R11, R12, R22|1608[0603]|Res1|5|2M, 2M, 2M, 2M, 10K
2K|Resistor|R8, R40|1608[0603]|Res1|2|2K, 50k
200K|Resistor|R10|1608[0603]|Res1|1|200K
6K|Resistor|R13|1608[0603]|Res1|1|6K
0.01|Resistor|R14|2512[6432]|Res1|1|10m
